timestamp,username,role,action,detail
2026-03-16 21:25:59,admin,Admin,LOGIN_SUCCESS,Logged in as Admin
2026-03-16 21:25:59,admin,Admin,LOGIN_FAILED,Wrong password
2026-03-16 21:25:59,nobody,UNKNOWN,LOGIN_FAILED,User not found
2026-03-16 21:25:59,testuser,Admin,TEST_ACTION,test detail
2026-03-16 21:26:07,admin,Admin,LOGIN_SUCCESS,Logged in as Admin
2026-03-16 21:26:07,admin,Admin,LOGIN_FAILED,Wrong password
2026-03-16 21:26:07,nobody,UNKNOWN,LOGIN_FAILED,User not found
2026-03-16 21:26:07,testuser,Admin,TEST_ACTION,test detail
2026-03-16 21:26:31,admin,Admin,LOGIN_SUCCESS,Logged in as Admin
2026-03-16 21:26:31,admin,Admin,LOGIN_FAILED,Wrong password
2026-03-16 21:26:31,nobody,UNKNOWN,LOGIN_FAILED,User not found
2026-03-16 21:26:31,testuser,Admin,TEST_ACTION,test detail
2026-03-16 21:29:07,tm1307,UNKNOWN,LOGIN_FAILED,User not found
2026-03-16 21:30:58,admin,Admin,LOGIN_SUCCESS,Logged in as Admin
2026-03-16 21:31:29,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:31:46,admin,Admin,EMERGENCY_BRAKE,Manual brake triggered
2026-03-16 21:31:46,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:18,admin,Admin,LOGIN_SUCCESS,Logged in as Admin
2026-03-16 21:34:26,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:33,admin,Admin,EMERGENCY_BRAKE,Manual brake triggered
2026-03-16 21:34:33,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:36,admin,Admin,BRAKE_RELEASE,Brake released
2026-03-16 21:34:36,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:45,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:46,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:47,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:49,admin,Admin,SYSTEM_START,System initiated
2026-03-16 21:34:53,admin,Admin,SYSTEM_START,System initiated
