dispatch_id,timestamp,alert_type,severity,risk_score,location_km,zone,details,responding_unit,status,estimated_response_min,channel,channel_status,dispatch_hash,operator
RPF-20260320-0001,2026-03-20 17:03:40,TEST_ALERT,CRITICAL,85.0,5.5,Z3,Test dispatch,RPF-Bridge-Guard,DISPATCHED,2.4,LOG,LOG:OK,0b54efd856f8af56683feabe4bf4d00779932d998661e6df73ed0779b7a791ab,test_user
RPF-20260320-0001,2026-03-20 17:04:22,TEST_ALERT,CRITICAL,85.0,5.5,Z3,Test dispatch,RPF-Bridge-Guard,DISPATCHED,2.4,LOG,LOG:OK,eabb96e2415f95ddf5add61a291eb731709f64f864fef85836d95356b570aa7d,test_user
RPF-20260320-0001,2026-03-20 17:05:24,TEST_ALERT,CRITICAL,85.0,5.5,Z3,Test dispatch,RPF-Bridge-Guard,DISPATCHED,2.4,LOG,LOG:OK,3b4f3997c7413283fdf3fbf5ba929a1e28c8b06dd5854329ef177bf5de7cf700,test_user
RPF-20260320-0001,2026-03-20 17:19:34,🔧 MECHANICAL FAULT,WARNING,45.7,7.83,Z4,"Unexplained high vibration (0.45). No work scheduled.
Risk: 45.7/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,bb03372693994adb38ec32810763faa03d390804e61316e8462470131d588c81,admin
RPF-20260320-0002,2026-03-20 17:19:34,🔧 MECHANICAL FAULT,WARNING,46.1,7.84,Z4,"Unexplained high vibration (0.45). No work scheduled.
Risk: 46.1/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,eec6196c8ab5c15c66d7deef763e41b56d1717f6c29a8f26b993193e69c45f72,admin
RPF-20260320-0003,2026-03-20 17:19:35,🔧 MECHANICAL FAULT,WARNING,50.0,7.89,Z4,"Unexplained high vibration (0.54). No work scheduled.
Risk: 50.0/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,50f389331fd2f09a4b2052a94629c401d0297875b2e6c3a55be13677c8348d4c,admin
RPF-20260320-0004,2026-03-20 17:19:36,🔧 MECHANICAL FAULT,WARNING,50.0,7.9,Z4,"Unexplained high vibration (0.58). No work scheduled.
Risk: 50.0/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,3a54079d3dc560cc77ec867b30060247044ef2b5f43996d02f4e1442393cde83,admin
RPF-20260320-0005,2026-03-20 17:19:36,🔧 MECHANICAL FAULT,WARNING,50.0,7.91,Z4,"Unexplained high vibration (0.58). No work scheduled.
Risk: 50.0/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,e8244c1bad98a9b9d2af9a85617513d980870e869a93e000b430025372d6b686,admin
RPF-20260320-0006,2026-03-20 17:19:40,🔧 MECHANICAL FAULT,WARNING,46.8,8.14,Z4,"Unexplained high vibration (0.46). No work scheduled.
Risk: 46.8/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,3a93dd8f3f6a32d66be785df9c46f4176b6de2c0321556f5ff26c0581bec121d,admin
RPF-20260320-0007,2026-03-20 17:19:41,🔧 MECHANICAL FAULT,WARNING,50.0,8.15,Z4,"Unexplained high vibration (0.54). No work scheduled.
Risk: 50.0/100 | Zone: Approach Zone — Exit",RPF-Patrol-Beta,DISPATCHED,5.1,LOG,LOG:OK,a8b6f8bc702670444af5b8103ed191070ed07bcc14b718d4da97248a9089da65,admin
